"","Estimator","estimator","N_reps","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","iptw","EN",500,0.0040622403303725,5.56987989284108e-06,4.6770847464498e-06,1.87835637857072,57.2,62.2,0.00393391579596684,5.78086740399653e-06,4.98178407654837e-06,1.76251413929767,55.2,63.6,0.295261558964215,0.0219299062287662,0.0324349888024282,1.63945700722134,66,72.6
"2","iptw","EN_undersmooth",500,0.00798883806468741,1.00386696526755e-05,7.81552555845718e-06,2.85762031195586,15.8,30,0.00655541990134633,1.04841655462575e-05,7.90980689771419e-06,2.33086743690626,39.6,49,0.357319316803227,0.0197845017184306,0.0301413488894299,2.05814113581879,50.4,59.2
"3","iptw","EN_undersmooth_untruncated",500,0.00863824994666741,1.90692311353154e-05,1.82839879624537e-05,2.02018109579487,38.4,54.4,0.00643793948086878,1.94320442829847e-05,1.83782693017108e-05,1.5017394315574,53.4,72.6,0.351788646038106,0.0370698592784252,0.0557486095263757,1.48992634221654,65.6,76
"4","iptw","EN_untruncated",500,0.00408578511430124,5.88115511610265e-06,5.09130416967347e-06,1.8107604486979,60.6,63.4,0.00395290187482465,6.09194202755971e-06,5.39624486497383e-06,1.70164988822505,56.4,65.8,0.296733633961036,0.023110926198237,0.03479669373275,1.59073481019449,66.6,72.2
"5","iptw","glm",500,0.00834909692338073,1.04720689733726e-05,8.17580234561143e-06,2.91994257799188,14.4,28,0.0026505010888969,1.06692530416729e-05,8.49617017115876e-06,0.909319251532749,91,94.6,0.162283994832367,0.0400607025252274,0.0312197571152529,0.91846144414869,91,95.4
"6","iptw","glm_untruncated",500,0.00915260099564724,2.24063313896802e-05,2.22910253875223e-05,1.93856115743606,40.2,56.2,0.00367052706324821,2.24693402316025e-05,2.26113932130697e-05,0.771906626700597,93.2,94.8,0.212557925772041,0.0839568933353315,0.0625696186785701,0.849758562263581,93.4,94.6
"7","iptw","glmnet",500,0.00426990047091216,5.93680232929517e-06,4.63677177011474e-06,1.98294145489398,52,59.6,0.00389387472303972,6.17469232876625e-06,4.93859154931122e-06,1.75218686530151,55.6,68,0.288961368382892,0.0230912691597973,0.0310654406798242,1.639460758043,66.6,73.8
"8","iptw","glmnet_undersmooth",500,0.00802451272477982,1.00857890658106e-05,7.82847524562044e-06,2.86800615313335,15.6,29.8,0.00652326144120555,1.05300489959158e-05,7.92275730572316e-06,2.31753663650135,40.2,49.4,0.35528202233739,0.0198750394071601,0.0300611234490453,2.0491352709719,50.6,59.4
"9","iptw","glmnet_undersmooth_untruncated",500,0.00868310879694534,1.92695461008068e-05,1.84491358543225e-05,2.02156275777098,37.8,54.4,0.00641284809857553,1.96278175706699e-05,1.85434179144253e-05,1.48921039770157,54.4,73.2,0.350047197619345,0.0374489555291568,0.0558514101867339,1.48118577879604,65.6,76
"10","iptw","glmnet_untruncated",500,0.00410052247103736,5.81383979210827e-06,4.88781805187073e-06,1.85473420240375,57.4,61.2,0.00403150694730657,6.0279616806715e-06,5.18969836049908e-06,1.76968656739128,54.2,63,0.301154435593605,0.0225157320237868,0.0333538519778205,1.64898333121115,64.2,72.6
"11","iptw","ridge",500,0.00341813033251681,5.2398748310775e-06,7.15950222956358e-06,1.27745968697752,85.2,70.2,0.00391917105885618,5.44890666463694e-06,7.51187364378716e-06,1.42994746562512,67,61.4,0.309842372095343,0.0225643064386824,0.0554151966965499,1.31621358608181,82.4,70
"12","iptw","ridge_undersmooth",500,0.00568581817473733,7.11408694693785e-06,9.96416626550648e-06,1.80124374018742,61.2,44.2,0.00879463250511976,7.54368090830544e-06,1.00584267899396e-05,2.77301786176426,22.2,10.4,0.506663810195021,0.0140029734932689,0.052297598992081,2.2155370111515,37.2,29
"13","iptw","ridge_undersmooth_untruncated",500,0.00622013484877143,1.28344200273184e-05,2.37409741344246e-05,1.27658733828626,92,63.2,0.00837427263156029,1.32782939815373e-05,2.38352346588577e-05,1.71528930457151,48.2,36.2,0.485872147426631,0.0250611540889105,0.103199866171336,1.51245491245723,68.4,51.6
"14","iptw","ridge_untruncated",500,0.00353343968437211,6.13332182857116e-06,9.36795565795664e-06,1.15445037496386,92.6,74,0.00392481550087201,6.32094294996612e-06,9.72029896210459e-06,1.258865799278,72.4,67.6,0.310980121162188,0.0262557526795542,0.0691657572828548,1.18246163863061,85.8,74.2
"15","tmle","EN",500,0.00416023782191839,5.74913704598602e-06,4.665972674387e-06,1.92595911023117,55,62.6,0.00399852784095755,5.95238640809294e-06,4.9694795743142e-06,1.79367877606121,54,64,0.297478340705842,0.0221534796953233,0.0318346978315788,1.66726634764024,64.6,72.8
"16","tmle","EN_undersmooth",500,0.00872238825997204,1.11960794081603e-05,7.60309075017556e-06,3.16329960717408,11,26.4,0.00273612847602639,1.13222613831263e-05,7.69102588296193e-06,0.986607356846232,87.8,93.8,0.16386736179094,0.0418075430191263,0.0270940975686448,0.995531752853778,88.4,95
"17","tmle","EN_undersmooth_untruncated",500,0.00898744603758947,1.93423051379163e-05,1.7696945542975e-05,2.1364224774728,32,51.2,0.00344842533423164,1.9349028440118e-05,1.77846800648265e-05,0.817707156302103,91.8,94.6,0.201851741235576,0.0710577376364119,0.0524635519369815,0.881259181943361,91.8,94.8
"18","tmle","EN_untruncated",500,0.00430231387966057,6.15305417468262e-06,5.08063670231276e-06,1.90872350205541,55.4,61.4,0.00391902011166028,6.35502891426805e-06,5.38438561105627e-06,1.68892130708543,56.8,68.4,0.29036132062291,0.0236647261187416,0.0334971095443576,1.58648180719302,66.6,73.4
"19","tmle","glm",500,0.00914901938733133,1.2348572416122e-05,7.92576469959117e-06,3.24977999165753,10.6,27,0.00294106938991941,1.25043701445432e-05,8.23155746464942e-06,1.02509535108002,87.8,93.2,0.171947455591165,0.0470009116592871,0.0278377090615541,1.03057358778904,86.2,94.6
"20","tmle","glm_untruncated",500,0.00909044146516704,2.17786410041376e-05,2.13592223744967e-05,1.96694517999729,41,56,0.0036339725453746,2.18092393907638e-05,2.16651714532864e-05,0.780729476954278,92.2,94.4,0.211015695017361,0.081421603230551,0.0615883329060809,0.850286990437075,92.8,94.6
"21","tmle","glmnet",500,0.00433791643288704,6.09756429769043e-06,4.62520870843208e-06,2.01704465935055,50.8,60.6,0.00391614469575967,6.3203852247493e-06,4.92588799308197e-06,1.7644788772482,55.8,68.6,0.289229922507897,0.0234142052754953,0.0306535581295648,1.65197235315031,66.4,75.4
"22","tmle","glmnet_undersmooth",500,0.00872782933052765,1.12167862977798e-05,7.61550351889406e-06,3.16269224462533,11,26.4,0.0027393606335731,1.13431188489644e-05,7.70343595946493e-06,0.986976863404535,87.8,93.8,0.16401002749226,0.0418886477766985,0.0271238739561098,0.995851410053139,88.4,95
