"","analysis","abs_bias_RD","mean_variance_RD","estimator_variance_RD","coverage_RD","O_coverage_RD","abs_bias_RR","estimator_variance_RR","mean_variance_RR","coverage_RR","O_coverage_RR"
"1","null_res_tab_EN",0.00148332832132577,3.34148642590493e-06,3.31699482128683e-06,95.5,95,0.0953530841628541,0.0138215180210735,0.0137429148888446,96,95.5
"2","null_res_tab_EN_markov",0.00144289115252665,3.27721285370478e-06,3.44028374517967e-06,92,94,0.0938202442904622,0.0143699074584345,0.0135482379995423,92,93.5
"3","null_res_tab_EN_undersmooth",0.00160286151041151,3.70969905779651e-06,3.95055110353427e-06,94,95.5,0.102976147742633,0.0161603718129653,0.0151966077518611,94,95.5
"4","null_res_tab_EN_undersmooth_markov",0.00160152622948666,3.8165045257668e-06,4.05352959673237e-06,94.5,94,0.102183233984008,0.0171497578300339,0.0152685552242952,94.5,95
"5","null_res_tab_glm",0.00173677046035152,4.05175957270998e-06,4.86017115354711e-06,91.5,95.5,0.112129832094524,0.0198835326894069,0.0165625564614433,90.5,95
"6","null_res_tab_glmnet",0.00134649650092108,3.15831174223128e-06,2.8900326741989e-06,95.5,94.5,0.0866793366070981,0.0117893873179183,0.0129673926829631,95,95.5
"7","null_res_tab_glmnet_markov",0.00152562550315488,3.15513252223086e-06,3.74561516002299e-06,93,95.5,0.098503597823561,0.0153818916746889,0.0130609193829141,92.5,94
"8","null_res_tab_glmnet_undersmooth",0.00163523628174392,3.79662307336343e-06,4.18408633269075e-06,93.5,95.5,0.104453466177345,0.0172595598084337,0.0152094816918681,92.5,95.5
"9","null_res_tab_glmnet_undersmooth_markov",0.0016468378035139,3.70064511897485e-06,4.35353969123383e-06,93.5,96,0.105750355239336,0.0180382095157586,0.0151113372634058,94,96
"10","null_res_tab_ridge",0.00151119867938644,6.02300106918798e-06,3.58573689315731e-06,99,97,0.0975581894303728,0.014645133611958,0.025001763497415,98.5,96.5
"11","null_res_tab_ridge_markov",0.00150757628006775,5.98720261250014e-06,3.63877966857427e-06,97.5,96,0.096337354180413,0.0149797188450355,0.0243731134283932,98,95
"12","null_res_tab_ridge_undersmooth",0.00173093472673143,6.08600981390175e-06,4.51493010114226e-06,97,94,0.112345507167373,0.0186248412817044,0.0254130928540354,98,96
"13","null_res_tab_ridge_undersmooth_markov",0.00159640304796158,6.07896097008314e-06,4.04835684580351e-06,98,94.5,0.102994873256237,0.016794532286429,0.0251694708897033,97.5,94
"14","null_trunc_tab_EN",0.00925813879113191,2.91675824426607e-06,3.65653362799574e-06,1,0,0.87886250173863,0.0133171464769053,0.0548102878567776,4.5,10.5
"15","null_trunc_tab_EN_markov",0.00931718601534042,2.7455079136162e-06,3.45233804192932e-06,0.5,0,0.886488113644918,0.0122245273034085,0.0525911309813399,4,8
"16","null_trunc_tab_EN_undersmooth",0.00722219515225194,9.03866454696048e-06,1.01961209869395e-05,30,32.8571428571429,0.628436211794136,0.0381107641123489,0.0925933838238736,38.5714285714286,61.4285714285714
"17","null_trunc_tab_EN_undersmooth_markov",0.00700009847124255,8.51571002528415e-06,7.95837994749076e-06,31.5,29.5,0.594752506268827,0.0282675991637205,0.0811543219892722,47,55
"18","null_trunc_tab_glm",0.0069671028364798,9.74954066680877e-06,1.02005224672001e-05,39,37,0.600965823869825,0.0369767090246918,0.0933598244656674,56,71
"19","null_trunc_tab_glmnet",0.00949683166666641,2.82184663672741e-06,3.21601228839205e-06,2.5,0,0.898679586422939,0.0110248405170954,0.0539387397030025,3.5,6.5
"20","null_trunc_tab_glmnet_markov",0.00935296280812142,2.6396594532569e-06,3.60163776355406e-06,1,0.5,0.892559446180541,0.0129001430214794,0.050441160070742,2,8.5
"21","null_trunc_tab_glmnet_undersmooth",0.00697459960127983,1.04291143916473e-05,1.21581176732067e-05,38.5714285714286,41.4285714285714,0.601500489297011,0.0441746890425053,0.0916712376304241,48.5714285714286,64.2857142857143
"22","null_trunc_tab_glmnet_undersmooth_markov",0.00743034373793804,9.39760747014723e-06,1.1105781507053e-05,29,35,0.638737811817987,0.0393147195180102,0.0834428484456662,38,47
"23","null_trunc_tab_ridge",0.00943277072580603,4.56224816828511e-06,3.8288400954035e-06,3,0.5,0.900770059506872,0.0135832627227028,0.0889510425309729,11.5,10
"24","null_trunc_tab_ridge_markov",0.00946025303619269,4.43455167954044e-06,3.38557830536113e-06,3,0,0.907320617329896,0.0122889372572372,0.0874629896722428,12,8.5
"25","null_trunc_tab_ridge_undersmooth",0.00705632362287166,1.07800038602882e-05,8.10617300450652e-06,40.4761904761905,32.1428571428571,0.598882054629818,0.0287574807857284,0.104099706378677,50.5952380952381,55.3571428571429
"26","null_trunc_tab_ridge_undersmooth_markov",0.00703082297687235,1.08464884912079e-05,8.37975049410026e-06,38.1909547738693,30.1507537688442,0.599266382766593,0.0298022910261963,0.109745353116996,56.78391959799,54.7738693467337
