"","Estimator","estimator","N_reps.x","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","N_reps.y","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","tmle","EN_undersmooth_markov",500,0.00210244952750529,5.86043915899061e-06,4.07318134003172e-06,1.04173847855833,90,93,500,0.0019897209437173,6.03606194858345e-06,4.1642787505846e-06,0.975039646111621,88.2,96.4,0.220199367741856,0.0215763043146347,0.0473239247205309,1.01222180896716,88.2,95.8
"2","tmle","glm_markov",500,0.00227802010268767,6.591396265825e-06,4.25669969899471e-06,1.10413212479716,87.6,92.2,500,0.00212431628028059,6.78955585223738e-06,4.56558239331356e-06,0.994193879268571,88.8,95.4,0.232550350546374,0.0247629676102926,0.0481742966954552,1.05952036085427,85.8,96
"3","tmle","glmnet_markov",500,0.00183991866523183,2.84566197025254e-06,2.27339050523024e-06,1.22028593113285,71.2,86.8,500,0.00247014487649464,3.04092176725784e-06,2.57409347890976e-06,1.53960838836404,62.2,73.2,0.303620271918624,0.0106649353696991,0.050257831246002,1.35434370353075,75,82
"4","tmle","glmnet_undersmooth_markov",500,0.00210406002687,5.86803695031462e-06,4.08308773754179e-06,1.04127099134087,90,93,500,0.00199101693076776,6.04365639928612e-06,4.17418493820147e-06,0.974516304788391,88.2,96.4,0.22031759990678,0.0216067547207726,0.0474224356018709,1.01171284533788,88.2,95.8
"5","tmle","ridge_undersmooth_markov",500,0.00194254396158235,5.05799378082539e-06,5.01564226092435e-06,0.867376356240593,95.2,93.6,500,0.00186259987225121,5.23704635878032e-06,5.10677498648268e-06,0.824225805414277,91.4,96.2,0.206193426444324,0.0184712277885719,0.0598935940070017,0.842528554089663,94.2,96
